部门,1月1日,1月2日,1月3日,1月4日,1月5日,1月6日,1月7日,1月8日,1月9日,1月10日,1月11日
新零售,16.89,9.38,6.08,12.08,13.01,11.29,17.7,16.74,17.1,11.43,12.51
万宝,2.43,2.18,3.82,4.68,6.75,6.25,5.95,6.79,8.52,7.97,10.6
美邦,0.18,2.03,0.17,0.35,2.65,0.72,1.29,3.38,0.82,3.18,8.04
美博电商,0,0.32,0.81,0.27,1.15,-0.95,1.18,5.43,0.85,0.46,3.38
东洋,0,0,0.49,0.25,0.38,0.42,0.13,0.49,0,-0.13,-0.25
