部门,上月总计,1月1日,1月2日,1月3日,1月4日,1月5日,1月6日,1月7日,1月8日,1月9日,1月10日,1月11日,本月累计,上月同期累计,环比率,本月排名
新零售,351.91,16.89,9.38,6.08,12.08,13.01,11.29,17.7,16.74,17.1,11.43,12.51,144.22,152.93,-5.69%,1
万宝,273.37,2.43,2.18,3.82,4.68,6.75,6.25,5.95,6.79,8.52,7.97,10.6,65.95,171.05,-61.44%,2
美邦,66.27,0.18,2.03,0.17,0.35,2.65,0.72,1.29,3.38,0.82,3.18,8.04,22.84,29.68,-23.06%,3
美博电商,81.6,0,0.32,0.81,0.27,1.15,-0.95,1.18,5.43,0.85,0.46,3.38,12.89,49.56,-73.98%,4
东洋,16.65,0,0,0.49,0.25,0.38,0.42,0.13,0.49,0,-0.13,-0.25,1.78,10.53,-83.07%,5
总合计,789.81,19.5,13.91,11.37,17.63,23.94,17.73,26.26,32.83,27.29,22.92,34.3,247.68,413.74,-40.14%,
